Hours Studied,Previous Scores,Sleep Hours,Sample Question Papers Practiced,Performance Index,distance_to_goal,performance_angle,is_high_efficiency,Extracurricular Activities_Yes
7.0,99.0,9.0,1.0,91.0,9.055385138137417,83.6598082540901,0.0,True
4.0,82.0,4.0,2.0,65.0,8.94427190999916,63.43494882292201,0.0,False
8.0,51.0,7.0,2.0,45.0,39.0,90.0,0.0,True
5.0,52.0,5.0,2.0,36.0,38.118237105091836,85.48601154199875,0.0,True
7.0,75.0,8.0,5.0,66.0,15.033296378372908,86.18592516570965,0.0,False
3.0,78.0,9.0,6.0,61.0,13.0,67.38013505195957,0.0,False
7.0,73.0,5.0,6.0,63.0,17.029386365926403,86.63353933657021,0.0,True
8.0,45.0,4.0,6.0,42.0,45.0,90.0,0.0,True
5.0,77.0,8.0,2.0,61.0,13.341664064126334,77.0053832080835,0.0,False
4.0,89.0,4.0,0.0,69.0,4.123105625617661,14.036243467926479,0.0,False
8.0,91.0,4.0,5.0,84.0,1.0,90.0,0.0,False
8.0,79.0,6.0,2.0,73.0,11.0,90.0,0.0,False
3.0,47.0,9.0,2.0,27.0,43.289721643826724,83.36748538486154,0.0,False
6.0,47.0,4.0,2.0,33.0,43.04648650006177,87.33699923393286,0.0,False
5.0,79.0,7.0,8.0,68.0,11.40175425099138,74.74488129694222,0.0,False
2.0,72.0,4.0,3.0,43.0,18.973665961010276,71.56505117707799,0.0,False
8.0,73.0,8.0,4.0,67.0,17.0,90.0,0.0,True
6.0,83.0,7.0,2.0,70.0,7.280109889280518,74.05460409907715,0.0,True
2.0,54.0,4.0,9.0,30.0,36.49657518178932,80.53767779197439,0.0,True
5.0,75.0,7.0,0.0,63.0,15.297058540778355,78.69006752597979,0.0,False
1.0,99.0,4.0,3.0,71.0,11.40175425099138,52.1250163489018,1.0,True
6.0,96.0,9.0,0.0,85.0,6.324555320336759,71.56505117707799,0.0,False
9.0,74.0,7.0,6.0,73.0,16.0312195418814,86.42366562500266,0.0,True
1.0,85.0,5.0,6.0,57.0,8.602325267042627,35.53767779197438,0.0,False
3.0,61.0,6.0,3.0,35.0,29.427877939124322,80.21759296819272,0.0,False
7.0,62.0,7.0,4.0,49.0,28.0178514522438,87.95459151111278,0.0,True
4.0,79.0,8.0,9.0,66.0,11.704699910719626,70.01689347810003,0.0,False
9.0,84.0,6.0,6.0,83.0,6.082762530298219,80.53767779197439,0.0,True
3.0,94.0,6.0,5.0,74.0,6.4031242374328485,38.65980825409009,1.0,True
5.0,90.0,4.0,3.0,74.0,3.0,0.0,0.0,True
3.0,61.0,7.0,3.0,39.0,29.427877939124322,80.21759296819272,0.0,True
7.0,44.0,9.0,1.0,36.0,46.010868281309364,88.75463573323165,0.0,True
5.0,70.0,6.0,9.0,58.0,20.223748416156685,81.46923439005187,0.0,True
9.0,52.0,8.0,1.0,47.0,38.01315561749642,88.49256424122504,0.0,True
7.0,67.0,9.0,3.0,60.0,23.021728866442675,87.51044707800085,0.0,True
2.0,97.0,9.0,4.0,74.0,9.219544457292887,49.398705354995535,1.0,True
4.0,59.0,8.0,3.0,42.0,31.25699921617557,82.64762064010765,0.0,False
9.0,72.0,8.0,2.0,68.0,18.027756377319946,86.82016988013577,0.0,False
2.0,55.0,4.0,1.0,32.0,35.510561809129406,80.2724214485984,0.0,True
9.0,68.0,5.0,3.0,64.0,22.02271554554524,87.39743779750019,0.0,False
5.0,62.0,7.0,4.0,45.0,28.160255680657446,83.8844964337146,0.0,False
2.0,63.0,6.0,0.0,39.0,27.65863337187866,77.47119229084849,0.0,True
4.0,73.0,7.0,0.0,58.0,17.46424919657298,76.7594800848128,0.0,True
7.0,46.0,9.0,5.0,36.0,44.01136216933077,88.69804732742112,0.0,False
8.0,77.0,6.0,4.0,71.0,13.0,90.0,0.0,True
3.0,76.0,4.0,3.0,54.0,14.866068747318506,70.3461759419467,0.0,True
1.0,43.0,7.0,0.0,17.0,47.51841748206689,81.52885536698517,0.0,True
4.0,73.0,4.0,6.0,54.0,17.46424919657298,76.7594800848128,0.0,False
2.0,81.0,4.0,3.0,58.0,10.816653826391969,56.309932474020215,0.0,True
8.0,61.0,7.0,2.0,53.0,29.0,90.0,0.0,False
4.0,44.0,7.0,6.0,27.0,46.17358552246078,85.0302592718897,0.0,True
2.0,89.0,6.0,1.0,65.0,6.082762530298219,9.462322208025617,0.0,True
6.0,81.0,9.0,9.0,75.0,9.219544457292887,77.47119229084849,0.0,False
6.0,62.0,9.0,0.0,52.0,28.071337695236398,85.91438322002513,0.0,True
4.0,93.0,8.0,3.0,78.0,5.0,36.86989764584402,1.0,False
6.0,99.0,4.0,7.0,91.0,9.219544457292887,77.47119229084849,0.0,False
2.0,54.0,9.0,5.0,33.0,36.49657518178932,80.53767779197439,0.0,True
2.0,70.0,5.0,8.0,47.0,20.8806130178211,73.30075576600639,0.0,True
4.0,98.0,6.0,0.0,78.0,8.94427190999916,63.43494882292201,1.0,False
8.0,48.0,6.0,0.0,38.0,42.0,90.0,0.0,False
7.0,82.0,8.0,4.0,70.0,8.06225774829855,82.8749836510982,0.0,True
9.0,97.0,8.0,5.0,98.0,7.0710678118654755,81.86989764584403,0.0,True
8.0,92.0,4.0,7.0,87.0,2.0,90.0,0.0,True
5.0,64.0,6.0,2.0,49.0,26.1725046566048,83.418055344822,0.0,True
2.0,64.0,6.0,5.0,41.0,26.68332812825267,77.0053832080835,0.0,True
5.0,88.0,5.0,2.0,71.0,3.605551275463989,33.690067525979785,0.0,False
8.0,60.0,4.0,7.0,54.0,30.0,90.0,0.0,False
9.0,48.0,4.0,3.0,42.0,42.01190307520001,88.63607246839707,0.0,False
9.0,94.0,9.0,1.0,91.0,4.123105625617661,75.96375653207353,0.0,False
1.0,87.0,8.0,8.0,61.0,7.615773105863909,23.19859051364819,0.0,True
9.0,77.0,9.0,9.0,74.0,13.038404810405298,85.60129464500447,0.0,False
7.0,61.0,4.0,7.0,54.0,29.017236257093817,88.02506598911803,0.0,True
9.0,82.0,5.0,5.0,81.0,8.06225774829855,82.8749836510982,0.0,True
8.0,62.0,4.0,2.0,52.0,28.0,90.0,0.0,True
1.0,88.0,9.0,1.0,65.0,7.280109889280518,15.945395900922854,0.0,True
8.0,43.0,7.0,3.0,36.0,47.0,90.0,0.0,True
